"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-1447.DevalQorder";"session.node-7849.conditionType";"trial.id";"trial.index";"trial.name";"trial.deval1.durationTime";"trial.deval1.endTime";"trial.deval1.icon";"trial.deval1.Resp_Attractive";"trial.deval1.Resp_Eat";"trial.deval1.Resp_Taste";"trial.deval1.RT_Attractive";"trial.deval1.RT_Eat";"trial.deval1.RT_Taste";"trial.deval1.startTime";"trial.deval1.stimulus type";"trial.devalPractice.durationTime";"trial.devalPractice.endTime";"trial.devalPractice.icon";"trial.devalPractice.Resp_Attractive";"trial.devalPractice.Resp_Eat";"trial.devalPractice.Resp_Taste";"trial.devalPractice.RT_Attractive";"trial.devalPractice.RT_Eat";"trial.devalPractice.RT_Taste";"trial.devalPractice.startTime";"trial.devalPractice.stimulus type";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"laurenh_96";"1996";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-13 12:57:22.565";"2014-10-13 13:12:42.126";"1";"1";"1";"21";"20";"module.training_block1.exec-1811.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1248";"2014-10-13 12:59:50.055";"ST_correctStop";"2";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-13 12:59:48.805";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"laurenh_96";"1996";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-13 12:57:22.565";"2014-10-13 13:12:42.126";"1";"1";"1";"22";"21";"module.training_block1.exec-1811.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1248";"2014-10-13 12:59:52.575";"NST_miss";"14";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-10-13 12:59:51.325";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"laurenh_96";"1996";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-13 12:57:22.565";"2014-10-13 13:12:42.126";"1";"1";"1";"23";"22";"module.training_block1.exec-1811.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1244";"2014-10-13 12:59:55.095";"NST_correctLoc";"35";"0";"FINISHED";"LEFT";"success";"656";"0";"2014-10-13 12:59:53.845";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"laurenh_96";"1996";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-13 12:57:22.565";"2014-10-13 13:12:42.126";"1";"1";"1";"24";"23";"module.training_block1.exec-1811.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1244";"2014-10-13 12:59:57.615";"NST_miss";"33";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-10-13 12:59:56.365";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"laurenh_96";"1996";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-13 12:57:22.565";"2014-10-13 13:12:42.126";"1";"1";"1";"25";"24";"module.training_block1.exec-1811.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1243";"2014-10-13 13:00:00.135";"ST_failedStop";"31";"0";"FINISHED";"LEFT";"failure";"711";"1";"2014-10-13 12:59:58.885";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"laurenh_96";"1996";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-13 12:57:22.565";"2014-10-13 13:12:42.126";"1";"1";"1";"26";"25";"module.training_block1.exec-1811.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1244";"2014-10-13 13:00:02.655";"NST_miss";"16";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-10-13 13:00:01.405";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"laurenh_96";"1996";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-13 12:57:22.565";"2014-10-13 13:12:42.126";"1";"1";"1";"27";"26";"module.training_block1.exec-1811.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1248";"2014-10-13 13:00:05.175";"ST_correctStop";"26";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-13 13:00:03.925";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"laurenh_96";"1996";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-13 12:57:22.565";"2014-10-13 13:12:42.126";"1";"1";"1";"28";"27";"module.training_block1.exec-1811.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1248";"2014-10-13 13:00:07.695";"ST_correctStop";"23";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-13 13:00:06.445";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"laurenh_96";"1996";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-13 12:57:22.565";"2014-10-13 13:12:42.126";"1";"1";"1";"29";"28";"module.training_block1.exec-1811.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1242";"2014-10-13 13:00:10.215";"ST_failedStop";"4";"0";"FINISHED";"LEFT";"failure";"318";"1";"2014-10-13 13:00:08.965";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"laurenh_96";"1996";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-13 12:57:22.565";"2014-10-13 13:12:42.126";"1";"1";"1";"30";"29";"module.training_block1.exec-1811.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1248";"2014-10-13 13:00:12.735";"NST_correctLoc";"13";"1";"FINISHED";"RIGHT";"success";"403";"0";"2014-10-13 13:00:11.485";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
