"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5809.conditionType";"session.node-6543.DevalQorder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"21";"20";"module.training_block1.exec-7820.GoNoGo1";"1244";"2014-09-29 11:31:25.625";"NST_correctLoc";"0";"0";"FINISHED";"LEFT";"success";"304";"0";"2014-09-29 11:31:24.375";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"22";"21";"module.training_block1.exec-7820.GoNoGo1";"1245";"2014-09-29 11:31:28.141";"NST_correctLoc";"19";"1";"FINISHED";"RIGHT";"success";"316";"0";"2014-09-29 11:31:26.891";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"23";"22";"module.training_block1.exec-7820.GoNoGo1";"1244";"2014-09-29 11:31:30.657";"NST_correctLoc";"4";"0";"FINISHED";"LEFT";"success";"304";"0";"2014-09-29 11:31:29.407";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"24";"23";"module.training_block1.exec-7820.GoNoGo1";"1239";"2014-09-29 11:31:33.297";"NST_correctLoc";"1";"1";"FINISHED";"RIGHT";"success";"330";"0";"2014-09-29 11:31:32.047";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"25";"24";"module.training_block1.exec-7820.GoNoGo1";"1244";"2014-09-29 11:31:35.813";"NST_correctLoc";"15";"0";"FINISHED";"LEFT";"success";"284";"0";"2014-09-29 11:31:34.563";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"26";"25";"module.training_block1.exec-7820.GoNoGo1";"1243";"2014-09-29 11:31:38.329";"NST_correctLoc";"27";"1";"FINISHED";"RIGHT";"success";"263";"0";"2014-09-29 11:31:37.079";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"27";"26";"module.training_block1.exec-7820.GoNoGo1";"1244";"2014-09-29 11:31:40.844";"NST_correctLoc";"16";"1";"FINISHED";"RIGHT";"success";"372";"0";"2014-09-29 11:31:39.594";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"28";"27";"module.training_block1.exec-7820.GoNoGo1";"1245";"2014-09-29 11:31:43.360";"NST_correctLoc";"35";"0";"FINISHED";"LEFT";"success";"314";"0";"2014-09-29 11:31:42.110";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"29";"28";"module.training_block1.exec-7820.GoNoGo1";"1244";"2014-09-29 11:31:45.875";"NST_correctLoc";"14";"1";"FINISHED";"RIGHT";"success";"277";"0";"2014-09-29 11:31:44.625";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"30";"29";"module.training_block1.exec-7820.GoNoGo1";"1245";"2014-09-29 11:31:48.391";"NST_correctLoc";"22";"0";"FINISHED";"LEFT";"success";"298";"0";"2014-09-29 11:31:47.141";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"31";"30";"module.training_block1.exec-7820.GoNoGo1";"1245";"2014-09-29 11:31:50.907";"NST_correctLoc";"20";"1";"FINISHED";"RIGHT";"success";"278";"0";"2014-09-29 11:31:49.657";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1320593";"1994";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-09-29 11:29:26.016";"2014-09-29 11:51:57.232";"1";"0";"1";"32";"31";"module.training_block1.exec-7820.GoNoGo1";"1244";"2014-09-29 11:31:53.422";"NST_correctLoc";"26";"0";"FINISHED";"LEFT";"success";"266";"0";"2014-09-29 11:31:52.172";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
